text,label_class,label_id,tokenized_text
肾结石，输尿管结石一般用什么药呢而且效果较好？,治疗方法,5,肾结石 结石 ， 输尿管 结石 药 效果 好 ？
婴儿会有痔疮吗,其他,12,婴儿 会 痔疮
睡一觉醒睡不着咋搞的？现在怀孕7个月了，晚上经常准点醒，然后就睡不着了。,病因,1,睡一觉 一觉 觉醒 睡不着 不着 咋搞 ？ 现在 怀孕 7 月 ， 晚上 经常 准点 点醒 ， 睡不着 不着 。
请问出血性脑梗死症状是什么,临床表现(病症表现),3,请问 问出 出血 出血性 血性 脑梗死 梗死 死症 症状
有心肌梗死病史的糖尿病患者如何运动?,其他,12,有心 心肌 心肌梗死 梗死 病史 糖尿 糖尿病 病患 病患者 患者 运动 ?
如果得了甲内型甲真菌病容易感染不,传染性,7,甲 内 型 甲 真菌 真菌病 病容 容易 感染 不
如何预防丘脑胶质瘤,预防,2,预防 丘脑 胶质 胶质瘤
治疗宝宝便秘偏方,治疗方法,5,治疗 宝宝 便秘 偏方
新生儿恶心的原因,病因,1,新生 新生儿 生儿 恶心 原因
一个月宝宝黄疸症?,治疗方法,5,一个月 宝宝 黄疸 症 ?
间质性肺炎能活多久?,其他,12,间质 间质性 性肺炎 肺炎 活多久 多久 ?
心绞痛按着胸口会痛吗,定义,0,心绞痛 绞痛 按着 胸口 会 痛
我想请问一下，小便刺痛，持续不好怎么办？,临床表现(病症表现),3,想 请问 一下 ， 小便 刺痛 ， 持续 不好 ？
如何预防肺性脑病,预防,2,预防 肺 性 脑病
我得了肛管直肠炎，该如何治疗？,治疗方法,5,肛管 直肠 直肠炎 肠炎 ， 如何治 治疗 ？
大面积脑梗死治疗,治疗方法,5,大面 大面积 面积 脑梗死 梗死 治疗
本人有多年心脏病史，之前听人说心脏病会引发癫痫，我想知道这是不是真的？什么情况下，心脏病会诱发癫痫发作？,相关病症,4,本人 多年 心脏 心脏病 病史 ， 之前 听 人 说 心脏 心脏病 会 引发 癫痫 ， 想 知道 是不是 不是 真的 ？ 情况 下 ， 心脏 心脏病 会 诱发 癫痫 发作 ？
吃厄贝沙坦片对心脏早搏的人有好处吗？大概要吃多久副作用才会出来,其他,12,吃 厄 贝沙坦 沙坦 片 心脏 早搏 人 好处 ？ 大概 概要 吃 多久 副作用 作用 才 会 出来
现在小便不好控制。老梗形成语言障碍。两腿无力。记忆减退。血压160.90。’活动量小，躺床时间多。血压是用降压药。,其他,12,现在 小便 不好 控制 。 老 梗 形成 成语 语言 语言障碍 障碍 。 两 腿 无力 。 记忆 记忆减退 减退 。 血压 160 . 90 。 活动 活动量 动量 小 ， 躺 床 时间 。 血压 降压 降压药 。
"你好，请问一下，我患有已经几个月了，头晕目眩，心悸耳鸣，神志不宁通常是什么症状，吃什么药好？,知道的麻烦解答一下，谢谢",其他,12,你好 ， 请问 一下 ， 患有 已经 几个 月 ， 头晕 头晕目眩 目眩 ， 心悸 耳鸣 ， 神志 不宁 通常 症状 ， 吃 药 好 ？ 知道 麻烦 解答 一下 ， 谢谢
距骨骨折脱位做啥检查,化验/体检方案,10,距 骨 骨折 脱位 做 检查
支气管炎治疗用什么方法好?,治疗方法,5,支气管 支气管炎 气管 气管炎 管炎 治疗 方法 好 ?
19个月宝宝不吃饭怎么办,治疗方法,5,19 月 宝宝 不吃 吃饭
糖尿病是体内胰岛素分泌不足导致糖代谢紊乱从而引起的多饮多食多尿主要与遗传有关能不能吃金双岐，甘露消渴胶囊吗？,其他,12,糖尿 糖尿病 体内 胰岛 胰岛素 分泌 不足 导致 糖 代谢 紊乱 引起 饮 食 尿 主要 遗传 不能 吃 金 双 岐 ， 甘露 消渴 胶囊 ？
经常大便的时候有一个肉球凸出来，但是平时也不痛。大便后它又会自己缩回去的。像这种情况一般医生建议手术吗？或者怎么样？,治疗方法,5,经常 大便 肉 球 凸出 凸出来 出来 ， 平时 不痛 。 大便 后 会 缩回 缩回去 回去 。 这种 情况 医生 建议 手术 ？ ？
曾经有过脑血栓，近段时间额头中间很痛，是怎么回事,病因,1,曾经 脑血栓 血栓 ， 近 段时间 时间 额头 头中 中间 很 痛 ， 怎么回事 回事
打扰问一下肢端纤维角化瘤应该看啥医生,所属科室,6,打扰 问 一下 下肢 端 纤维 角化 瘤 应该 看 医生
支气管扩张如何根治?,治疗方法,5,支气管 气管 扩张 根治 ?
颅骨缺损怎么回事？,病因,1,颅骨 缺损 怎么回事 回事 ？
尖锐湿疣能治好吗?小阴唇内侧肉粒，无性生活史，可能是尖锐湿疣吗?,定义,0,尖锐 尖锐湿疣 湿疣 治好 ? 小阴唇 阴唇 内侧 肉 粒 ， 无性 性生活 生活 生活史 ， 可能 尖锐 尖锐湿疣 湿疣 ?
氨酚羟考酮片哪里有卖？,其他,12,氨 酚 羟 考 酮 片 卖 ？
"我家孩子的血管瘤说至少还要等上一个多月才能治疗.这几天我吃不好睡不好,非常担心,怕隔这么长时间又会继续长大,怕治疗会留下后遗症,内蒙古婴儿有血管瘤什么时间治疗好？",治疗时间,11,我家 孩子 血管 血管瘤 管瘤 说 至少 还要 上 一个多 一个多月 多月 才能 治疗 . 几天 吃 不好 睡 不好 非常 担心 怕 隔 长时间 时间 会 继续 长大 怕 治疗 会 留下 后遗 后遗症 内蒙 内蒙古 蒙古 婴儿 血管 血管瘤 管瘤 时间 治疗 好 ？
